player_fantasy_avg,over_under,vegas_line,f_points_earned
4.71,42.5,3.0,4.3
6.9,42.5,3.0,10.5
10.753333333333334,42.5,3.0,5.9
3.27,42.5,3.0,4.6
2.9890909090909092,42.5,3.0,1.1
0.35,42.5,3.0,0.7
3.75,42.5,3.0,0.7
5.6466666666666665,42.5,3.0,0.0
5.08,42.5,3.0,0.0
12.621538461538462,42.5,-3.0,19.16
13.675384615384615,42.5,-3.0,10.2
6.735454545454545,42.5,-3.0,7.1
3.117692307692308,42.5,-3.0,1.5
10.428666666666667,42.5,-3.0,13.5
5.08,42.5,-3.0,6.3
5.774615384615386,42.5,-3.0,4.5
2.83,42.5,-3.0,2.9
3.6409090909090907,42.5,-3.0,1.5
1.7076923076923078,42.5,-3.0,0.0
1.8015384615384615,42.5,-3.0,0.0
12.8,43.5,2.0,19.599999999999998
11.320769230769232,43.5,2.0,26.6
6.021428571428571,43.5,2.0,12.8
0.4,43.5,2.0,0.7
5.059230769230769,43.5,2.0,4.8
6.779999999999999,43.5,2.0,3.2
5.584285714285714,43.5,2.0,2.2
4.91,43.5,2.0,1.1
3.6230769230769235,43.5,2.0,0.9
3.562000000000001,43.5,-2.0,2.8200000000000003
12.080769230769231,43.5,-2.0,18.7
2.5592307692307696,43.5,-2.0,4.8
6.637692307692308,43.5,-2.0,7.6
2.911538461538462,43.5,-2.0,1.9
6.71,43.5,-2.0,0.4
2.16,43.5,-2.0,0.0
19.253636363636364,45.0,6.5,20.04
8.463846153846152,45.0,6.5,10.7
10.48169230769231,45.0,6.5,4.1
7.7718181818181815,45.0,6.5,6.1
